N;Instance;Decoder;Total Distance;Time Spent;Alpha
N020;61;PositionalDecoderWithVehicleByPercentage;1059,58;235,73;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;894,96;201,88;Alpha1
N020;61;PositionalDecoderWithVehicleByPercentage;1211,47;232,20;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1161,80;232,97;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1177,39;237,83;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1187,23;210,99;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1028,00;190,72;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1027,71;247,24;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1167,94;225,44;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1181,18;187,93;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1047,50;217,88;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1188,43;288,80;Alpha1
N020;61;TimeDecoderWithVehicleByPercentage;1045,52;197,72;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1350,90;315,50;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1336,75;237,67;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1297,81;240,66;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1368,48;224,57;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1211,42;250,66;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1335,15;271,86;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1446,24;290,82;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1300,57;273,28;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1253,74;255,25;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;1497,57;299,44;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;1391,47;249,53;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;1397,27;264,94;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;1325,21;299,64;Alpha1
